t,icao,tpos,lat,lon,alt,tv,gs,trk,roc,t50,tas,t60,ias,mach,hdg,vwx,vwy,temp
1522938379.434692,4841D5,1522938379.1340961,51.96606,4.46419,25.0,1522938379.434692,136.0,237.59,-832.0,1522938378.860889,136.0,1522938379.313076,136.0,0.204,243.63299999999998,4.6,-5.14,282.52
1522942261.305724,4841D5,1522942261.305724,51.95057,4.42435,475.0,1522942261.195223,141.0,237.99,2944.0,1522942261.4814858,146.0,1522942261.481513,147.0,0.22399999999999998,242.578,4.64,-2.95,279.35
1522942263.303149,4841D5,1522942263.242908,51.94992,4.42255,575.0,1522942263.303149,141.0,238.9,3200.0,1522942263.027027,150.0,1522942263.027055,151.0,0.23199999999999998,243.28099999999998,5.53,-2.28,278.84
1522942264.272383,4841D5,1522942263.812156,51.949740000000006,4.42255,600.0,1522942264.272383,142.0,239.11,3136.0,1522942264.417763,150.0,1522942264.417779,151.0,0.23199999999999998,243.457,5.62,-2.15,278.6
1522942265.495386,4841D5,1522942265.165652,51.949259999999995,4.42162,675.0,1522942265.262559,141.0,238.55,2816.0,1522942264.417763,150.0,1522942265.479019,150.0,0.23199999999999998,243.457,5.92,-2.2,279.39
1522942267.3363268,4841D5,1522942267.313399,51.94853,4.41886,775.0,1522942267.3363268,141.0,238.55,2688.0,1522942267.217888,150.0,1522942267.2217948,150.0,0.23199999999999998,244.16,5.9,-2.26,279.38
1522942268.3452349,4841D5,1522942268.3452349,51.948170000000005,4.41795,850.0,1522942268.288403,141.0,239.45,2752.0,1522942268.059311,150.0,1522942268.414046,149.0,0.228,245.391,5.9,-2.29,279.4
1522942269.272963,4841D5,1522942269.245285,51.94792,4.41705,875.0,1522942269.272963,140.0,241.06,2688.0,1522942268.059311,150.0,1522942269.491677,150.0,0.23199999999999998,246.97299999999998,5.85,-2.33,279.38
1522942271.262705,4841D5,1522942271.262705,51.94732,4.41517,975.0,1522942271.15522,140.0,242.89,2688.0,1522942271.4067,150.0,1522942271.4172099,151.0,0.23199999999999998,250.84,5.84,-2.44,279.3
1522942272.191858,4841D5,1522942272.191858,51.947070000000004,4.414219999999999,1025.0,1522942272.083807,139.0,244.54,2752.0,1522942272.087627,150.0,1522942272.433733,152.0,0.23600000000000002,253.65200000000002,5.83,-2.47,279.22
1522942274.204441,4841D5,1522942274.204441,51.94661,4.41231,1125.0,1522942273.9834561,138.0,248.81,3008.0,1522942272.087627,150.0,1522942273.5076199,149.0,0.23199999999999998,256.113,5.78,-2.58,279.14
1522942275.483245,4841D5,1522942275.1987119,51.94648,4.41132,1175.0,1522942275.483245,136.0,255.15,3200.0,1522942275.2327359,146.0,1522942273.5076199,149.0,0.23199999999999998,256.113,5.76,-2.59,279.04
1522942276.426521,4841D5,1522942276.2181349,51.946290000000005,4.41032,1225.0,1522942276.426521,136.0,257.29,2752.0,1522942276.089124,148.0,1522942276.437526,146.0,0.22399999999999998,263.672,5.78,-2.67,278.73
1522942278.397045,4841D5,1522942278.397045,51.94611,4.40826,1325.0,1522942278.097085,136.0,260.74,2880.0,1522942276.089124,148.0,1522942277.522276,151.0,0.23199999999999998,265.605,5.78,-2.86,278.99
1522942279.476656,4841D5,1522942279.476656,51.94601,4.40724,1375.0,1522942279.163115,136.0,263.29,2816.0,1522942278.684511,150.0,1522942278.684537,149.0,0.23199999999999998,268.418,5.83,-2.92,276.48
1522942280.2744849,4841D5,1522942280.0526161,51.94601,4.40724,1425.0,1522942280.095057,137.0,265.41,2624.0,1522942280.1097689,150.0,1522942280.4577231,148.0,0.228,273.34,5.77,-3.04,276.7
1522942282.128844,4841D5,1522942282.0148768,51.94597,4.405130000000001,1475.0,1522942282.128844,139.0,270.0,2176.0,1522942280.1097689,150.0,1522942281.522361,150.0,0.23199999999999998,275.801,5.79,-3.21,276.53
1522942283.1078641,4841D5,1522942283.1078641,51.94601,4.40407,1525.0,1522942283.0804539,139.0,272.06,2112.0,1522942280.1097689,150.0,1522942282.693866,150.0,0.23199999999999998,278.613,5.77,-3.21,276.38
1522942284.425993,4841D5,1522942284.053463,51.94611,4.40308,1575.0,1522942284.425993,140.0,277.38,2112.0,1522942284.115206,150.0,1522942284.451571,151.0,0.23600000000000002,283.008,5.8,-3.21,276.62
1522942285.385345,4841D5,1522942285.145586,51.9462,4.402080000000001,1600.0,1522942285.385345,142.0,280.12,1920.0,1522942285.097557,152.0,1522942285.117636,152.0,0.23600000000000002,284.238,5.86,-3.31,277.01
1522942286.3264859,4841D5,1522942286.243371,51.94638,4.39995,1650.0,1522942286.3264859,143.0,282.88,2176.0,1522942285.097557,152.0,1522942285.544415,153.0,0.24,285.469,5.8,-3.24,276.28
1522942287.424345,4841D5,1522942287.257455,51.94657,4.39893,1675.0,1522942287.424345,144.0,286.05,2304.0,1522942285.097557,152.0,1522942286.703861,155.0,0.24,287.93,5.85,-3.45,276.09
1522942288.428454,4841D5,1522942288.418756,51.94679,4.39781,1725.0,1522942288.428454,146.0,288.31,2176.0,1522942288.1892312,158.0,1522942288.464962,158.0,0.248,292.5,5.87,-3.48,275.58
1522942290.454713,4841D5,1522942290.426128,51.9473,4.39575,1800.0,1522942290.0470018,147.0,290.65,1920.0,1522942288.1892312,158.0,1522942289.546983,158.0,0.248,295.137,5.9,-3.59,275.02
1522942291.1057491,4841D5,1522942290.983259,51.94748,4.39575,1825.0,1522942291.1057491,149.0,293.65,2112.0,1522942288.1892312,158.0,1522942290.7231839,159.0,0.248,297.949,5.94,-3.66,274.93
1522942292.1545384,4841D5,1522942291.9679,51.94778,4.394769999999999,1850.0,1522942292.1545384,151.0,295.89,2112.0,1522942292.377223,164.0,1522942292.477854,162.0,0.252,302.871,5.96,-3.8,274.86
1522942294.12888,4841D5,1522942294.12888,51.948570000000004,4.39273,1925.0,1522942294.054607,154.0,301.53,1792.0,1522942292.377223,164.0,1522942293.563794,166.0,0.26,306.211,6.0,-3.94,275.43
1522942295.170908,4841D5,1522942295.170908,51.949040000000004,4.391780000000001,1950.0,1522942295.117105,157.0,304.9,1792.0,1522942295.097222,170.0,1522942295.1151268,169.0,0.264,310.605,6.01,-3.94,275.17
1522942296.386059,4841D5,1522942296.138425,51.9495,4.39084,1975.0,1522942296.386059,160.0,311.22,1408.0,1522942296.152064,172.0,1522942296.474421,171.0,0.268,314.824,6.01,-4.02,276.1
1522942297.37553,4841D5,1522942297.127995,51.95004,4.389880000000001,2000.0,1522942297.37553,162.0,314.5,1600.0,1522942296.57757,172.0,1522942296.575205,171.0,0.268,315.176,5.95,-4.07,275.03
1522942298.42241,4841D5,1522942298.1645439,51.95057,4.38912,2025.0,1522942298.42241,165.0,318.19,1792.0,1522942296.57757,172.0,1522942297.585979,172.0,0.272,317.988,5.97,-4.32,274.62
1522942299.398752,4841D5,1522942299.203298,51.951229999999995,4.3874699999999995,2075.0,1522942299.398752,166.0,320.59,1600.0,1522942296.57757,172.0,1522942298.739177,175.0,0.272,321.152,6.06,-4.4,274.89
1522942300.478635,4841D5,1522942300.143088,51.95179,4.3874699999999995,2075.0,1522942300.478635,168.0,323.67,1408.0,1522942300.1771939,180.0,1522942300.177168,178.0,0.28,324.668,6.07,-4.29,275.23
1522942301.140002,4841D5,1522942301.140002,51.952420000000004,4.3866,2100.0,1522942300.975451,168.0,323.67,1408.0,1522942300.782244,180.0,1522942300.773814,178.0,0.28,326.25,6.09,-4.45,275.07
1522942302.1071231,4841D5,1522942302.020928,51.95304,4.3859,2125.0,1522942302.1071231,171.0,326.4,1280.0,1522942301.58383,182.0,1522942301.5838606,180.0,0.284,328.35900000000004,6.08,-4.4,275.6
1522942303.179293,4841D5,1522942303.017782,51.95375,4.3852199999999995,2150.0,1522942303.179293,174.0,329.04,1152.0,1522942301.58383,182.0,1522942302.751159,183.0,0.28800000000000003,332.051,6.1,-4.4,275.96
